"","Coef","Group","Type"
"CK.leaf","44.0285875","CK","leaf"
"N1.leaf","41.964475","N1","leaf"
"N2.leaf","25.3206626126126","N2","leaf"
"NP1.leaf","36.23876","NP1","leaf"
"NP2.leaf","44.8546075","NP2","leaf"
"P1.leaf","30.01024","P1","leaf"
"P2.leaf","42.8516240384615","P2","leaf"
"CK.stem","33.2112352697095","CK","stem"
"N1.stem","24.3577129518072","N1","stem"
"N2.stem","20.1534617647059","N2","stem"
"NP1.stem","19.0627574418605","NP1","stem"
"NP2.stem","18.364132","NP2","stem"
"P1.stem","24.600412","P1","stem"
"P2.stem","19.202563","P2","stem"
