"","Group","value","std","r","Min","Max","groups","Type","Time","Element"
"1","CK",4857.567,470.375517440049,3,4430.166,5361.52499999999,"a","leaf",20,"exp1"
"2","N1",4755.998,591.853900842935,3,4241.055,5402.592,"a","leaf",20,"exp1"
"3","N2",4942.236,234.136859727385,3,4675.047,5111.57400000001,"a","leaf",20,"exp1"
"4","NP1",4794.023,436.392819679698,3,4436.757,5280.405,"a","leaf",20,"exp1"
"5","NP2",4336.54,778.943476785699,3,3567.75900000001,5125.263,"a","leaf",20,"exp1"
"6","P1",4387.578,904.886776722359,3,3826.836,5431.49099999999,"a","leaf",20,"exp1"
"7","P2",4615.052,342.497294636027,3,4321.66800000001,4991.415,"a","leaf",20,"exp1"
"8","CK",5083.52,560.678812443462,3,4458.05099999998,5541.003,"ab","stem",20,"exp1"
"9","N1",3869.931,545.961555789422,3,3241.25099999999,4224.83100000001,"b","stem",20,"exp1"
"10","N2",5564.325,652.04142338045,3,4847.427,6122.025,"a","stem",20,"exp1"
"11","NP1",4938.518,384.622354619434,3,4566.549,5334.65399999999,"ab","stem",20,"exp1"
"12","NP2",4799.769,277.406846478242,3,4509.25799999999,5061.888,"ab","stem",20,"exp1"
"13","P1",5112.419,383.576690569176,3,4752.111,5515.65300000001,"ab","stem",20,"exp1"
"14","P2",4565.873,1047.46302250676,3,3369.015,5315.388,"ab","stem",20,"exp1"
"15","CK",8881.68233333333,5780.25593338253,3,4587.54724999999,15453.867,"a","leaf",33,"exp1"
"16","N1",6696.89258333333,223.175027589945,3,6527.87849999999,6949.8715,"a","leaf",33,"exp1"
"17","N2",5205.2,1112.31453675818,3,3982.44275,6157.008,"a","leaf",33,"exp1"
"18","NP1",6059.10066666666,523.509949199408,3,5454.77075,6373.58149999999,"a","leaf",33,"exp1"
"19","NP2",5563.987,861.102992216272,3,4797.61425,6495.81075,"a","leaf",33,"exp1"
"20","P1",6825.47341666666,1534.22980645502,3,5128.51625,8114.53499999999,"a","leaf",33,"exp1"
"21","P2",6706.80725,930.211840612424,3,5779.631,7640.02524999999,"a","leaf",33,"exp1"
"22","CK",8525.141625,3064.45494888887,2,6358.24475000001,10692.0385,"a","stem",33,"exp1"
"23","N1",6530.51208333334,949.156312963207,3,5736.874,7581.93150000001,"a","stem",33,"exp1"
"24","N2",7520.89433333333,4807.62580787092,3,2559.84300000001,12158.7895,"a","stem",33,"exp1"
"25","NP1",8154.34858333333,2725.66066075995,3,6024.55424999999,11226.03625,"a","stem",33,"exp1"
"26","NP2",7425.15583333333,227.737616782082,3,7196.189,7651.644,"a","stem",33,"exp1"
"27","P1",7162.41716666667,571.394831578247,3,6522.30150000001,7620.9705,"a","stem",33,"exp1"
"28","P2",5450.74291666667,2024.05963399304,3,3387.098,7432.74675,"a","stem",33,"exp1"
"29","CK",22.3361666666666,0.882795863416071,3,21.6953749999982,23.3431250000041,"a","leaf",60,"exp1"
"30","N1",119.004166666669,151.570693369375,3,20.8715000000001,293.574124999999,"a","leaf",60,"exp1"
