"Group","Type","Element","Decomposition_time","Mean","Sd"
"CK","leaf","Carbon",60,398.517463244629,98.6520969223001
"CK","leaf","Nitrogen",60,6.80372301489115,2.00236300399944
"CK","leaf","Phosphorus",60,NA,NA
"CK","stem","Carbon",60,372.553197475179,48.7998261963471
"CK","stem","Nitrogen",60,5.74943860141436,2.41416893567803
"CK","stem","Phosphorus",60,NA,NA
"N1","leaf","Carbon",60,407.511127789815,57.4608604470038
"N1","leaf","Nitrogen",60,8.1870725663503,1.33866005340651
"N1","leaf","Phosphorus",60,NA,NA
"N1","stem","Carbon",60,412.295005777995,105.45974002848
"N1","stem","Nitrogen",60,6.06596150326729,2.09188882712382
"N1","stem","Phosphorus",60,NA,NA
"N2","leaf","Carbon",60,414.260687828064,66.8402231292784
"N2","leaf","Nitrogen",60,8.30043852329254,1.17426400141846
"N2","leaf","Phosphorus",60,NA,NA
"N2","stem","Carbon",60,413.587214483643,115.85620897457
"N2","stem","Nitrogen",60,5.32437241586049,1.31025062180911
"N2","stem","Phosphorus",60,NA,NA
"P1","leaf","Carbon",60,425.204515457153,45.3012575106686
"P1","leaf","Nitrogen",60,8.49415740744273,1.0777887789489
"P1","leaf","Phosphorus",60,NA,NA
"P1","stem","Carbon",60,465.659636397298,203.8376015136
"P1","stem","Nitrogen",60,5.5478642647607,2.11787639579572
"P1","stem","Phosphorus",60,NA,NA
"P2","leaf","Carbon",60,399.580373764038,49.8461172340539
"P2","leaf","Nitrogen",60,7.97994836362203,0.681473229102003
"P2","leaf","Phosphorus",60,NA,NA
"P2","stem","Carbon",60,418.876801645915,172.022020050485
"P2","stem","Nitrogen",60,4.79866148798466,1.74616199948705
"P2","stem","Phosphorus",60,NA,NA
"NP1","leaf","Carbon",60,408.393038113912,90.7005708321936
"NP1","leaf","Nitrogen",60,8.36898150291442,0.83915727983932
"NP1","leaf","Phosphorus",60,NA,NA
"NP1","stem","Carbon",60,373.271782023112,66.4787050281129
"NP1","stem","Nitrogen",60,4.71568371206522,1.40100354245709
"NP1","stem","Phosphorus",60,NA,NA
"NP2","leaf","Carbon",60,483.652909596761,76.0122794364964
"NP2","leaf","Nitrogen",60,9.03155223655701,0.915109116973413
"NP2","leaf","Phosphorus",60,NA,NA
"NP2","stem","Carbon",60,495.209737676348,205.171998097714
"NP2","stem","Nitrogen",60,6.19397335094214,1.90636879129988
"NP2","stem","Phosphorus",60,NA,NA
