"","Group","value","std","r","Min","Max","groups","Type","Time","Element"
"1","CK",439.148790924072,47.1748287809774,8,367.800788879395,504.559326171875,"ab","leaf",60,"Carbon"
"2","N1",407.511127789815,57.4608604470038,12,286.168308258057,489.204978942871,"b","leaf",60,"Carbon"
"3","N2",414.260687828064,66.8402231292784,12,293.115978240967,513.879661560059,"ab","leaf",60,"Carbon"
"4","NP1",439.806591033936,58.939356869335,10,357.89249420166,555.701713562012,"ab","leaf",60,"Carbon"
"5","NP2",483.652909596761,76.0122794364964,12,365.250091552734,583.092002868652,"a","leaf",60,"Carbon"
"6","P1",425.204515457153,45.3012575106686,12,367.348747253418,524.744148254395,"ab","leaf",60,"Carbon"
"7","P2",388.517549688166,33.4305658551769,11,340.431938171387,449.793663024902,"b","leaf",60,"Carbon"
"8","CK",372.553197475179,48.7998261963471,15,292.563,467.316093444824,"ab","stem",60,"Carbon"
"9","N1",410.983858365146,37.4832502741579,11,366.164,495.021209716797,"ab","stem",60,"Carbon"
"10","N2",366.298469322205,64.599732351253,12,275.179271697998,458.100509643555,"ab","stem",60,"Carbon"
"11","NP1",354.86150037176,31.5941230577079,11,292.437,400.020523071289,"b","stem",60,"Carbon"
"12","NP2",375.660236597061,57.2265678928963,8,284.875221252441,469.646377563477,"ab","stem",60,"Carbon"
"13","P1",426.42194802579,79.1895261015448,11,316.878,527.256965637207,"a","stem",60,"Carbon"
"14","P2",374.001111780802,54.0067864894038,12,303.245,485.45093536377,"ab","stem",60,"Carbon"
"15","CK",7.81486372152964,0.785607860736314,6,6.94635808467865,8.76136720180511,"a","leaf",60,"Nitrogen"
"16","N1",8.1870725663503,1.33866005340651,9,5.47517061233521,9.75050091743469,"a","leaf",60,"Nitrogen"
"17","N2",8.30043852329254,1.17426400141846,8,6.76047503948212,10.2182459831238,"a","leaf",60,"Nitrogen"
"18","NP1",8.36898150291442,0.83915727983932,10,7.06964313983917,10.0637328624725,"a","leaf",60,"Nitrogen"
"19","NP2",9.03155223655701,0.915109116973413,9,7.362,10.9030890464783,"a","leaf",60,"Nitrogen"
"20","P1",8.2368678008318,0.804165709289943,8,7.48155176639557,9.90957498550415,"a","leaf",60,"Nitrogen"
"21","P2",7.97994836362203,0.681473229102003,9,6.668,8.9244270324707,"a","leaf",60,"Nitrogen"
"22","CK",5.12356938336112,1.11374626553148,11,3.406,7.523,"a","stem",60,"Nitrogen"
"23","N1",5.3073269525528,1.21870364944842,10,3.406,7.03,"a","stem",60,"Nitrogen"
"24","N2",5.32437241586049,1.31025062180911,9,3.79098117351532,7.221,"a","stem",60,"Nitrogen"
"25","NP1",4.71568371206522,1.40100354245709,8,3.17155420780182,7.166,"a","stem",60,"Nitrogen"
"26","NP2",6.19397335094214,1.90636879129988,8,3.56020957231522,8.7179571390152,"a","stem",60,"Nitrogen"
"27","P1",4.78442529598872,0.697590436796205,6,3.84655177593231,5.67,"a","stem",60,"Nitrogen"
"28","P2",5.08991311290529,1.57350165810096,9,3.00985932350159,8.21063816547394,"a","stem",60,"Nitrogen"
